Perfil de Temperatura via solucao analitica
t =  0 5 50 100 500 750 1000 10000
Point Temperature
0.0064 19.0495 20.0526 25.122 32.5842 84.0895 110.792 134.054 290.48 
0.0065 18.7909 20.0993 25.1381 32.5918 84.0713 110.762 134.015 290.373 
0.0066 18.5521 20.143 25.1543 32.5995 84.0529 110.732 133.974 290.264 
0.0067 18.3348 20.1839 25.1707 32.6072 84.0341 110.701 133.933 290.154 
0.0068 18.1407 20.222 25.1872 32.6151 84.0151 110.67 133.892 290.042 
0.0069 17.971 20.2575 25.2039 32.623 83.9957 110.638 133.849 289.928 
0.007 17.827 20.2905 25.2207 32.631 83.9761 110.606 133.807 289.813 
0.0071 17.7094 20.3213 25.2376 32.6391 83.9561 110.574 133.763 289.696 
0.0072 17.6187 20.3498 25.2546 32.6472 83.9359 110.541 133.719 289.577 
0.0073 17.5553 20.3764 25.2718 32.6555 83.9153 110.507 133.674 289.457 
0.0074 17.519 20.401 25.2891 32.6638 83.8945 110.473 133.629 289.335 
0.0075 17.5098 20.4239 25.3065 32.6722 83.8733 110.439 133.583 289.211 
0.0076 17.527 20.4451 25.324 32.6807 83.8519 110.404 133.536 289.086 
0.0077 17.5698 20.4648 25.3416 32.6892 83.8301 110.369 133.489 288.959 
0.0078 17.6374 20.483 25.3593 32.6978 83.8081 110.333 133.441 288.831 
0.0079 17.7284 20.5 25.3771 32.7065 83.7857 110.296 133.393 288.7 
0.008 17.8415 20.5157 25.3951 32.7152 83.7631 110.26 133.343 288.569 
0.0081 17.9751 20.5303 25.4131 32.724 83.7401 110.222 133.294 288.435 
0.0082 18.1273 20.544 25.4312 32.7329 83.7168 110.184 133.243 288.3 
0.0083 18.2963 20.5566 25.4494 32.7418 83.6933 110.146 133.192 288.163 
0.0084 18.48 20.5684 25.4677 32.7508 83.6694 110.107 133.141 288.024 
0.0085 18.6763 20.5795 25.486 32.7599 83.6452 110.068 133.088 287.884 
0.0086 18.8828 20.5897 25.5045 32.769 83.6207 110.028 133.035 287.742 
0.0087 19.0974 20.5994 25.523 32.7782 83.5959 109.988 132.982 287.599 
0.0088 19.3176 20.6084 25.5416 32.7874 83.5708 109.947 132.927 287.453 
0.0089 19.5411 20.6168 25.5602 32.7967 83.5453 109.906 132.873 287.307 
0.009 19.7655 20.6247 25.5789 32.806 83.5196 109.865 132.817 287.158 
0.0091 19.9886 20.6321 25.5977 32.8154 83.4935 109.822 132.761 287.008 
0.0092 20.208 20.6391 25.6165 32.8248 83.4672 109.78 132.704 286.856 
0.0093 20.4215 20.6456 25.6354 32.8343 83.4405 109.737 132.647 286.703 
0.0094 20.6272 20.6517 25.6543 32.8438 83.4135 109.693 132.589 286.547 
0.0095 20.8229 20.6574 25.6733 32.8533 83.3862 109.649 132.53 286.391 
0.0096 21.0067 20.6627 25.6923 32.8629 83.3585 109.604 132.47 286.232 
0.0097 21.1771 20.6677 25.7114 32.8726 83.3306 109.559 132.41 286.072 
0.0098 21.3324 20.6724 25.7305 32.8822 83.3023 109.514 132.35 285.91 
0.0099 21.4712 20.6767 25.7496 32.8919 83.2737 109.467 132.289 285.747 
0.01 21.5924 20.6806 25.7688 32.9017 83.2448 109.421 132.227 285.582 
0.0101 21.695 20.6843 25.788 32.9114 83.2156 109.374 132.164 285.415 
0.0102 21.7781 20.6876 25.8072 32.9212 83.186 109.326 132.101 285.247 
0.0103 21.8411 20.6906 25.8264 32.9311 83.1562 109.278 132.037 285.076 
0.0104 21.8838 20.6933 25.8457 32.9409 83.126 109.23 131.972 284.905 
