Perfil de Temperatura via solucao analitica
t =  0 100
Point Temperature
0.0201 21.5748 33.688 
0.0202 21.5911 33.6898 
0.0203 21.6071 33.6914 
0.0204 21.6228 33.6928 
0.0205 21.6382 33.694 
0.0206 21.6534 33.695 
0.0207 21.6683 33.6958 
0.0208 21.6828 33.6963 
0.0209 21.6971 33.6967 
0.021 21.7111 33.6968 
0.0211 21.7248 33.6967 
0.0212 21.7383 33.6964 
0.0213 21.7515 33.6958 
0.0214 21.7644 33.695 
0.0215 21.777 33.694 
0.0216 21.7894 33.6927 
0.0217 21.8015 33.6913 
0.0218 21.8133 33.6895 
0.0219 21.8249 33.6875 
0.022 21.8362 33.6853 
0.0221 21.8472 33.6828 
0.0222 21.858 33.6801 
0.0223 21.8686 33.6771 
0.0224 21.8789 33.6739 
0.0225 21.889 33.6704 
0.0226 21.8988 33.6666 
0.0227 21.9083 33.6626 
0.0228 21.9177 33.6583 
0.0229 21.9267 33.6537 
0.023 21.9356 33.6489 
0.0231 21.9442 33.6438 
0.0232 21.9526 33.6384 
0.0233 21.9608 33.6327 
0.0234 21.9687 33.6267 
0.0235 21.9764 33.6205 
0.0236 21.9839 33.6139 
0.0237 21.9912 33.6071 
0.0238 21.9982 33.6 
0.0239 22.0051 33.5926 
0.024 22.0117 33.5848 
0.0241 22.0181 33.5768 
0.0242 22.0243 33.5685 
0.0243 22.0303 33.5598 
0.0244 22.0361 33.5509 
0.0245 22.0417 33.5416 
0.0246 22.047 33.532 
0.0247 22.0522 33.5221 
0.0248 22.0572 33.5119 
0.0249 22.062 33.5013 
0.025 22.0666 33.4904 
0.0251 22.071 33.4792 
0.0252 22.0752 33.4677 
0.0253 22.0792 33.4558 
0.0254 22.0831 33.4436 
0.0255 22.0867 33.431 
0.0256 22.0902 33.4181 
0.0257 22.0934 33.4048 
0.0258 22.0965 33.3912 
0.0259 22.0994 33.3772 
0.026 22.1021 33.3629 
0.0261 22.1046 33.3482 
0.0262 22.107 33.3332 
0.0263 22.1092 33.3178 
0.0264 22.1112 33.302 
0.0265 22.113 33.2859 
0.0266 22.1146 33.2693 
0.0267 22.116 33.2525 
