tf = 1000 s, nsteps = 400000, dt = 0.0025, N = 33, dx = 0.0009375
X IMP_DIF CN_DIF IMP_FIC CN_FIC
0 135.601 135.713 135.616 135.736
0.0009375 135.574 135.686 135.589 135.709
0.001875 135.493 135.606 135.508 135.628
0.0028125 135.358 135.471 135.373 135.493
0.00375 135.169 135.282 135.184 135.304
0.0046875 134.926 135.038 134.941 135.061
0.005625 134.628 134.74 134.643 134.763
0.0065625 134.275 134.387 134.291 134.41
0.0075 133.867 133.979 133.883 134.002
0.0084375 133.404 133.515 133.42 133.538
0.009375 132.884 132.995 132.9 133.018
0.0103125 132.308 132.419 132.324 132.441
0.01125 131.675 131.785 131.691 131.807
0.0121875 130.984 131.093 131 131.116
0.013125 130.234 130.343 130.251 130.366
0.0140625 129.426 129.534 129.443 129.557
0.015 128.558 128.665 128.575 128.688
0.0159375 127.629 127.735 127.646 127.758
0.016875 126.638 126.744 126.655 126.767
0.0178125 125.585 125.69 125.603 125.713
0.01875 124.469 124.572 124.486 124.595
0.0196875 123.288 123.39 123.306 123.413
0.020625 122.041 122.142 122.06 122.166
0.0215625 120.728 120.828 120.747 120.852
0.0225 119.348 119.446 119.366 119.47
0.0234375 117.898 117.995 117.917 118.019
0.024375 116.378 116.473 116.397 116.498
0.0253125 114.787 114.881 114.806 114.905
0.02625 113.123 113.215 113.142 113.239
0.0271875 111.384 111.475 111.404 111.499
0.028125 109.57 109.659 109.591 109.684
0.0290625 107.679 107.766 107.7 107.791
0.03 105.71 105.795 105.731 105.82
