Perfil de Temperatura via solucao analitica
t =  0 100
Point Temperature
0 1.90262 32.3278 
0.0001 1.93462 32.3279 
0.0002 2.03041 32.3281 
0.0003 2.18939 32.3284 
0.0004 2.41056 32.3289 
0.0005 2.69253 32.3295 
0.0006 3.03353 32.3302 
0.0007 3.43141 32.331 
0.0008 3.8837 32.332 
0.0009 4.38757 32.3332 
0.001 4.9399 32.3344 
0.0011 5.53725 32.3358 
0.0012 6.17596 32.3373 
0.0013 6.85209 32.339 
0.0014 7.56152 32.3408 
0.0015 8.29996 32.3427 
0.0016 9.06294 32.3447 
0.0017 9.84591 32.3469 
0.0018 10.6442 32.3492 
0.0019 11.4532 32.3516 
0.002 12.2681 32.3542 
0.0021 13.0842 32.3569 
0.0022 13.897 32.3597 
0.0023 14.7019 32.3626 
0.0024 15.4944 32.3657 
0.0025 16.2703 32.3689 
0.0026 17.0254 32.3722 
0.0027 17.7559 32.3757 
0.0028 18.4581 32.3793 
0.0029 19.1286 32.383 
0.003 19.7642 32.3868 
0.0031 20.3621 32.3907 
0.0032 20.9197 32.3948 
0.0033 21.4349 32.399 
0.0034 21.9058 32.4033 
0.0035 22.3308 32.4077 
0.0036 22.7088 32.4122 
0.0037 23.0391 32.4169 
0.0038 23.321 32.4217 
0.0039 23.5547 32.4266 
0.004 23.7402 32.4316 
0.0041 23.8782 32.4367 
0.0042 23.9697 32.442 
0.0043 24.0159 32.4473 
0.0044 24.0183 32.4528 
0.0045 23.9789 32.4584 
0.0046 23.8997 32.4641 
0.0047 23.7831 32.4699 
0.0048 23.6317 32.4758 
0.0049 23.4483 32.4818 
0.005 23.2358 32.4879 
0.0051 22.9974 32.4942 
0.0052 22.7363 32.5005 
0.0053 22.4558 32.5069 
0.0054 22.1594 32.5135 
0.0055 21.8504 32.5201 
0.0056 21.5322 32.5268 
0.0057 21.2083 32.5337 
0.0058 20.882 32.5406 
0.0059 20.5567 32.5476 
0.006 20.2354 32.5548 
0.0061 19.9212 32.562 
0.0062 19.617 32.5693 
0.0063 19.3256 32.5767 
0.0064 19.0495 32.5842 
0.0065 18.7909 32.5918 
0.0066 18.5521 32.5995 
0.0067 18.3348 32.6072 
0.0068 18.1407 32.6151 
0.0069 17.971 32.623 
0.007 17.827 32.631 
0.0071 17.7094 32.6391 
0.0072 17.6187 32.6472 
0.0073 17.5553 32.6555 
0.0074 17.519 32.6638 
0.0075 17.5098 32.6722 
0.0076 17.527 32.6807 
0.0077 17.5698 32.6892 
0.0078 17.6374 32.6978 
0.0079 17.7284 32.7065 
0.008 17.8415 32.7152 
0.0081 17.9751 32.724 
0.0082 18.1273 32.7329 
0.0083 18.2963 32.7418 
0.0084 18.48 32.7508 
0.0085 18.6763 32.7599 
0.0086 18.8828 32.769 
0.0087 19.0974 32.7782 
0.0088 19.3176 32.7874 
0.0089 19.5411 32.7967 
0.009 19.7655 32.806 
0.0091 19.9886 32.8154 
0.0092 20.208 32.8248 
0.0093 20.4215 32.8343 
0.0094 20.6272 32.8438 
0.0095 20.8229 32.8533 
0.0096 21.0067 32.8629 
0.0097 21.1771 32.8726 
0.0098 21.3324 32.8822 
0.0099 21.4712 32.8919 
0.01 21.5924 32.9017 
0.0101 21.695 32.9114 
0.0102 21.7781 32.9212 
0.0103 21.8411 32.9311 
0.0104 21.8838 32.9409 
0.0105 21.9058 32.9508 
0.0106 21.9073 32.9607 
0.0107 21.8884 32.9706 
0.0108 21.8497 32.9805 
0.0109 21.7918 32.9905 
0.011 21.7154 33.0004 
0.0111 21.6217 33.0104 
0.0112 21.5118 33.0204 
0.0113 21.3871 33.0304 
0.0114 21.2489 33.0404 
0.0115 21.0988 33.0504 
0.0116 20.9387 33.0604 
0.0117 20.7702 33.0704 
0.0118 20.5951 33.0804 
0.0119 20.4155 33.0904 
0.012 20.2331 33.1004 
0.0121 20.05 33.1104 
0.0122 19.868 33.1204 
0.0123 19.6891 33.1304 
0.0124 19.5151 33.1403 
0.0125 19.3477 33.1503 
