Perfil de Temperatura via solucao analitica
t =  0 100
Point Temperature
0.0126 19.1888 33.1602 
0.0127 19.0398 33.1701 
0.0128 18.9023 33.18 
0.0129 18.7776 33.1898 
0.013 18.667 33.1996 
0.0131 18.5714 33.2094 
0.0132 18.4919 33.2192 
0.0133 18.4291 33.2289 
0.0134 18.3836 33.2386 
0.0135 18.3557 33.2483 
0.0136 18.3457 33.2579 
0.0137 18.3535 33.2675 
0.0138 18.3789 33.277 
0.0139 18.4217 33.2865 
0.014 18.4812 33.2959 
0.0141 18.5568 33.3053 
0.0142 18.6475 33.3146 
0.0143 18.7523 33.3239 
0.0144 18.8701 33.3331 
0.0145 18.9996 33.3423 
0.0146 19.1393 33.3514 
0.0147 19.2878 33.3604 
0.0148 19.4434 33.3694 
0.0149 19.6044 33.3783 
0.015 19.7692 33.3871 
0.0151 19.936 33.3959 
0.0152 20.103 33.4046 
0.0153 20.2684 33.4132 
0.0154 20.4305 33.4217 
0.0155 20.5876 33.4301 
0.0156 20.738 33.4385 
0.0157 20.8802 33.4467 
0.0158 21.0126 33.4549 
0.0159 21.1338 33.463 
0.016 21.2426 33.471 
0.0161 21.3378 33.4789 
0.0162 21.4184 33.4867 
0.0163 21.4836 33.4944 
0.0164 21.5327 33.5019 
0.0165 21.5651 33.5094 
0.0166 21.5805 33.5168 
0.0167 21.5788 33.5241 
0.0168 21.5599 33.5312 
0.0169 21.5239 33.5382 
0.017 21.4714 33.5452 
0.0171 21.4028 33.5519 
0.0172 21.3188 33.5586 
0.0173 21.2203 33.5652 
0.0174 21.1084 33.5716 
0.0175 20.984 33.5779 
0.0176 20.8487 33.584 
0.0177 20.7038 33.59 
0.0178 20.5507 33.5959 
0.0179 20.3912 33.6016 
0.018 20.2268 33.6072 
0.0181 20.0594 33.6127 
0.0182 19.8908 33.618 
0.0183 19.7226 33.6231 
0.0184 19.5567 33.6281 
0.0185 19.395 33.633 
0.0186 19.239 33.6377 
0.0187 19.0907 33.6422 
0.0188 18.9515 33.6465 
0.0189 18.823 33.6507 
0.019 18.7068 33.6548 
0.0191 18.604 33.6586 
0.0192 18.5158 33.6623 
0.0193 18.4434 33.6658 
0.0194 18.3876 33.6691 
0.0195 18.3492 33.6723 
0.0196 18.3286 33.6753 
0.0197 18.3263 33.678 
0.0198 18.3423 33.6806 
0.0199 18.3768 33.683 
0.02 18.4295 33.6852 
0.0201 18.5 33.6873 
0.0202 18.5876 33.6891 
0.0203 18.6917 33.6907 
0.0204 18.8113 33.6921 
0.0205 18.9453 33.6933 
0.0206 19.0923 33.6943 
0.0207 19.2509 33.6951 
0.0208 19.4196 33.6956 
0.0209 19.5967 33.696 
0.021 19.7804 33.6961 
0.0211 19.9687 33.696 
0.0212 20.1598 33.6957 
0.0213 20.3515 33.6952 
0.0214 20.542 33.6944 
0.0215 20.729 33.6934 
0.0216 20.9105 33.6921 
0.0217 21.0845 33.6906 
0.0218 21.2491 33.6889 
0.0219 21.4023 33.687 
0.022 21.5422 33.6847 
0.0221 21.6673 33.6823 
0.0222 21.7758 33.6796 
0.0223 21.8663 33.6766 
0.0224 21.9377 33.6734 
0.0225 21.9886 33.6699 
0.0226 22.0183 33.6662 
0.0227 22.026 33.6621 
0.0228 22.0112 33.6579 
0.0229 21.9736 33.6533 
0.023 21.9132 33.6485 
0.0231 21.8301 33.6434 
0.0232 21.7247 33.638 
0.0233 21.5977 33.6324 
0.0234 21.45 33.6264 
0.0235 21.2825 33.6202 
0.0236 21.0968 33.6137 
0.0237 20.8942 33.6069 
0.0238 20.6766 33.5998 
0.0239 20.4458 33.5924 
0.024 20.204 33.5847 
0.0241 19.9534 33.5766 
0.0242 19.6965 33.5683 
0.0243 19.4358 33.5597 
0.0244 19.1739 33.5508 
0.0245 18.9136 33.5415 
0.0246 18.6576 33.532 
0.0247 18.4089 33.5221 
0.0248 18.1701 33.5119 
0.0249 17.9442 33.5013 
0.025 17.734 33.4905 
0.0251 17.5422 33.4793 
0.0252 17.3713 33.4678 
0.0253 17.2241 33.4559 
0.0254 17.1028 33.4437 
0.0255 17.0097 33.4311 
0.0256 16.9469 33.4183 
0.0257 16.9163 33.405 
0.0258 16.9195 33.3914 
0.0259 16.958 33.3775 
0.026 17.0329 33.3632 
0.0261 17.1452 33.3485 
0.0262 17.2954 33.3335 
0.0263 17.484 33.3181 
0.0264 17.7109 33.3024 
0.0265 17.9761 33.2862 
0.0266 18.2789 33.2697 
0.0267 18.6184 33.2529 
0.0268 18.9937 33.2356 
0.0269 19.4032 33.218 
0.027 19.8453 33.2 
0.0271 20.318 33.1815 
0.0272 20.819 33.1627 
0.0273 21.3458 33.1435 
0.0274 21.8957 33.124 
0.0275 22.4658 33.104 
0.0276 23.0529 33.0836 
0.0277 23.6538 33.0628 
0.0278 24.2649 33.0416 
0.0279 24.8827 33.02 
0.028 25.5034 32.9979 
0.0281 26.1234 32.9755 
0.0282 26.7388 32.9526 
0.0283 27.3458 32.9293 
0.0284 27.9406 32.9056 
0.0285 28.5194 32.8815 
0.0286 29.0785 32.8569 
0.0287 29.6143 32.8319 
0.0288 30.1233 32.8064 
0.0289 30.6022 32.7805 
0.029 31.0479 32.7542 
0.0291 31.4573 32.7274 
0.0292 31.8277 32.7002 
0.0293 32.1566 32.6725 
0.0294 32.4418 32.6444 
0.0295 32.6814 32.6158 
0.0296 32.8736 32.5867 
0.0297 33.0171 32.5572 
0.0298 33.111 32.5272 
0.0299 33.1543 32.4968 
0.03 33.1469 32.4658 
