Perfil de Temperatura via solucao analitica
t X0 X1 X2 X3 X4 X5 X6
35.5 56.6671 55.0253 50.147 41.5807 27.3651 3.89173 -32.4711
36 56.6814 55.0413 50.157 41.5583 27.2806 3.74259 -32.6364
36.5 56.6959 55.0573 50.1666 41.5355 27.1959 3.5943 -32.8005
37 56.7104 55.0731 50.1757 41.5121 27.1112 3.44684 -32.9633
37.5 56.725 55.0888 50.1843 41.4881 27.0265 3.30022 -33.1249
38 56.7397 55.1043 50.1925 41.4637 26.9417 3.15441 -33.2853
38.5 56.7544 55.1198 50.2003 41.4388 26.8568 3.00941 -33.4445
39 56.7692 55.1351 50.2076 41.4133 26.7719 2.86522 -33.6025
39.5 56.784 55.1502 50.2145 41.3874 26.687 2.72182 -33.7594
40 56.7989 55.1653 50.221 41.361 26.6021 2.5792 -33.9151
40.5 56.8138 55.1802 50.2271 41.3342 26.5171 2.43737 -34.0698
41 56.8287 55.1949 50.2327 41.3069 26.4322 2.2963 -34.2233
41.5 56.8437 55.2096 50.2379 41.2791 26.3472 2.156 -34.3757
42 56.8586 55.224 50.2427 41.2509 26.2622 2.01645 -34.5271
42.5 56.8736 55.2384 50.2471 41.2223 26.1773 1.87764 -34.6774
43 56.8886 55.2526 50.2511 41.1932 26.0924 1.73958 -34.8267
43.5 56.9035 55.2666 50.2547 41.1637 26.0075 1.60225 -34.975
44 56.9185 55.2805 50.2579 41.1338 25.9226 1.46564 -35.1223
44.5 56.9335 55.2942 50.2607 41.1035 25.8377 1.32975 -35.2686
45 56.9484 55.3078 50.2631 41.0729 25.7529 1.19456 -35.4139
45.5 56.9633 55.3212 50.2651 41.0418 25.6682 1.06008 -35.5582
46 56.9782 55.3345 50.2668 41.0104 25.5834 0.926295 -35.7016
46.5 56.993 55.3476 50.2681 40.9786 25.4988 0.793198 -35.844
47 57.0079 55.3606 50.269 40.9464 25.4142 0.660781 -35.9856
47.5 57.0226 55.3734 50.2695 40.9139 25.3296 0.52904 -36.1262
48 57.0373 55.386 50.2697 40.881 25.2451 0.397966 -36.2659
48.5 57.052 55.3984 50.2695 40.8478 25.1607 0.267553 -36.4047
49 57.0666 55.4107 50.269 40.8142 25.0764 0.137795 -36.5427
49.5 57.0812 55.4228 50.2681 40.7804 24.9921 0.00868578 -36.6798
50 57.0957 55.4348 50.2669 40.7462 24.9079 -0.119782 -36.816
50.5 57.1101 55.4466 50.2653 40.7117 24.8238 -0.247614 -36.9514
51 57.1245 55.4582 50.2634 40.6769 24.7398 -0.374816 -37.086
51.5 57.1387 55.4696 50.2611 40.6417 24.6558 -0.501395 -37.2197
52 57.1529 55.4809 50.2585 40.6063 24.572 -0.627357 -37.3527
52.5 57.167 55.4919 50.2556 40.5707 24.4882 -0.752707 -37.4848
53 57.1811 55.5028 50.2523 40.5347 24.4046 -0.877451 -37.6162
53.5 57.195 55.5136 50.2487 40.4984 24.321 -1.0016 -37.7468
54 57.2089 55.5241 50.2448 40.4619 24.2375 -1.12515 -37.8766
54.5 57.2226 55.5345 50.2406 40.4251 24.1542 -1.24811 -38.0056
55 57.2363 55.5447 50.2361 40.3881 24.071 -1.37049 -38.1339
55.5 57.2498 55.5547 50.2312 40.3508 23.9878 -1.49229 -38.2615
56 57.2633 55.5645 50.2261 40.3133 23.9048 -1.61352 -38.3883
56.5 57.2766 55.5741 50.2206 40.2755 23.8219 -1.73418 -38.5144
57 57.2898 55.5835 50.2149 40.2375 23.7391 -1.85428 -38.6398
57.5 57.3029 55.5928 50.2088 40.1992 23.6564 -1.97383 -38.7645
58 57.3159 55.6018 50.2025 40.1607 23.5738 -2.09282 -38.8885
58.5 57.3288 55.6107 50.1958 40.122 23.4914 -2.21127 -39.0118
59 57.3415 55.6194 50.1889 40.0831 23.4091 -2.32918 -39.1344
59.5 57.3542 55.6279 50.1817 40.044 23.3269 -2.44655 -39.2563
60 57.3667 55.6362 50.1742 40.0047 23.2448 -2.56339 -39.3776
60.5 57.379 55.6443 50.1664 39.9652 23.1629 -2.6797 -39.4982
61 57.3913 55.6523 50.1583 39.9254 23.081 -2.79549 -39.6182
61.5 57.4034 55.66 50.15 39.8855 22.9994 -2.91076 -39.7375
62 57.4153 55.6675 50.1414 39.8454 22.9178 -3.02552 -39.8561
62.5 57.4272 55.6749 50.1325 39.8051 22.8364 -3.13978 -39.9742
63 57.4388 55.682 50.1234 39.7646 22.7551 -3.25352 -40.0916
63.5 57.4504 55.689 50.114 39.724 22.6739 -3.36678 -40.2084
64 57.4618 55.6958 50.1043 39.6832 22.5929 -3.47953 -40.3246
64.5 57.473 55.7023 50.0944 39.6422 22.512 -3.5918 -40.4402
65 57.4842 55.7087 50.0842 39.601 22.4313 -3.70357 -40.5552
65.5 57.4951 55.7149 50.0738 39.5597 22.3507 -3.81487 -40.6696
66 57.5059 55.7209 50.0631 39.5182 22.2702 -3.92569 -40.7835
66.5 57.5166 55.7266 50.0522 39.4766 22.1899 -4.03604 -40.8967
67 57.5271 55.7322 50.041 39.4348 22.1097 -4.14591 -41.0094
67.5 57.5374 55.7376 50.0296 39.3929 22.0296 -4.25532 -41.1215
68 57.5476 55.7428 50.018 39.3509 21.9497 -4.36427 -41.233
68.5 57.5576 55.7478 50.0061 39.3087 21.87 -4.47276 -41.344
69 57.5674 55.7526 49.994 39.2663 21.7904 -4.5808 -41.4545
69.5 57.5771 55.7572 49.9816 39.2239 21.7109 -4.68839 -41.5644
70 57.5867 55.7616 49.969 39.1813 21.6316 -4.79553 -41.6738
70.5 57.596 55.7658 49.9562 39.1385 21.5524 -4.90222 -41.7826
71 57.6052 55.7698 49.9432 39.0957 21.4734 -5.00848 -41.8909
71.5 57.6143 55.7737 49.9299 39.0527 21.3945 -5.1143 -41.9987
72 57.6231 55.7773 49.9165 39.0097 21.3158 -5.21969 -42.106
72.5 57.6318 55.7807 49.9028 38.9665 21.2372 -5.32466 -42.2127
73 57.6403 55.7839 49.8889 38.9232 21.1587 -5.4292 -42.319
73.5 57.6487 55.7869 49.8747 38.8798 21.0805 -5.53331 -42.4247
74 57.6569 55.7898 49.8604 38.8363 21.0023 -5.63701 -42.53
74.5 57.6649 55.7924 49.8459 38.7926 20.9243 -5.74029 -42.6347
75 57.6727 55.7948 49.8311 38.7489 20.8465 -5.84317 -42.739
75.5 57.6803 55.7971 49.8161 38.7051 20.7688 -5.94563 -42.8428
76 57.6878 55.7991 49.801 38.6612 20.6913 -6.04769 -42.9461
76.5 57.6951 55.8009 49.7856 38.6172 20.6139 -6.14935 -43.049
77 57.7022 55.8026 49.7701 38.5731 20.5366 -6.2506 -43.1514
77.5 57.7092 55.804 49.7543 38.5289 20.4596 -6.35147 -43.2533
78 57.7159 55.8053 49.7383 38.4847 20.3826 -6.45194 -43.3547
78.5 57.7225 55.8063 49.7222 38.4403 20.3058 -6.55202 -43.4557
79 57.7289 55.8072 49.7058 38.3959 20.2292 -6.65172 -43.5563
79.5 57.7351 55.8078 49.6893 38.3514 20.1527 -6.75103 -43.6564
80 57.7411 55.8083 49.6726 38.3068 20.0764 -6.84996 -43.756
80.5 57.747 55.8086 49.6557 38.2622 20.0002 -6.94851 -43.8553
81 57.7526 55.8087 49.6386 38.2174 19.9242 -7.04669 -43.954
81.5 57.7581 55.8085 49.6213 38.1726 19.8483 -7.1445 -44.0524
82 57.7634 55.8082 49.6039 38.1278 19.7726 -7.24194 -44.1503
82.5 57.7685 55.8077 49.5863 38.0828 19.6971 -7.33901 -44.2478
83 57.7734 55.807 49.5684 38.0379 19.6216 -7.43572 -44.3449
83.5 57.7782 55.8061 49.5505 37.9928 19.5464 -7.53207 -44.4416
84 57.7827 55.805 49.5323 37.9477 19.4713 -7.62806 -44.5378
84.5 57.7871 55.8038 49.514 37.9025 19.3963 -7.7237 -44.6337
85 57.7913 55.8023 49.4955 37.8573 19.3215 -7.81898 -44.7291
85.5 57.7953 55.8006 49.4768 37.812 19.2469 -7.91392 -44.8241
86 57.7991 55.7988 49.458 37.7667 19.1724 -8.0085 -44.9188
86.5 57.8027 55.7967 49.439 37.7213 19.098 -8.10274 -45.013
87 57.8061 55.7945 49.4198 37.6758 19.0238 -8.19664 -45.1069
87.5 57.8093 55.7921 49.4005 37.6303 18.9498 -8.2902 -45.2003
88 57.8124 55.7895 49.381 37.5848 18.8759 -8.38342 -45.2934
88.5 57.8153 55.7867 49.3613 37.5392 18.8022 -8.4763 -45.3861
89 57.8179 55.7837 49.3415 37.4936 18.7286 -8.56885 -45.4784
89.5 57.8204 55.7805 49.3216 37.4479 18.6551 -8.66107 -45.5704
90 57.8227 55.7771 49.3015 37.4022 18.5818 -8.75297 -45.6619
90.5 57.8248 55.7736 49.2812 37.3565 18.5087 -8.84454 -45.7531
91 57.8267 55.7698 49.2608 37.3107 18.4357 -8.93578 -45.844
91.5 57.8285 55.7659 49.2402 37.2649 18.3629 -9.0267 -45.9344
92 57.83 55.7618 49.2195 37.219 18.2902 -9.11731 -46.0246
92.5 57.8314 55.7575 49.1986 37.1731 18.2176 -9.2076 -46.1143
93 57.8325 55.753 49.1776 37.1272 18.1453 -9.29757 -46.2037
93.5 57.8335 55.7484 49.1564 37.0813 18.073 -9.38723 -46.2928
94 57.8343 55.7435 49.1351 37.0353 18.0009 -9.47658 -46.3815
94.5 57.8349 55.7385 49.1137 36.9893 17.929 -9.56563 -46.4698
95 57.8353 55.7333 49.0921 36.9432 17.8572 -9.65436 -46.5578
95.5 57.8355 55.7279 49.0703 36.8972 17.7856 -9.7428 -46.6455
96 57.8356 55.7223 49.0485 36.8511 17.7141 -9.83093 -46.7328
96.5 57.8354 55.7165 49.0265 36.805 17.6427 -9.91876 -46.8198
97 57.8351 55.7106 49.0043 36.7588 17.5715 -10.0063 -46.9065
97.5 57.8345 55.7045 48.982 36.7127 17.5004 -10.0935 -46.9928
98 57.8338 55.6982 48.9596 36.6665 17.4295 -10.1805 -47.0788
98.5 57.8329 55.6917 48.9371 36.6203 17.3588 -10.2671 -47.1645
99 57.8318 55.6851 48.9144 36.574 17.2882 -10.3535 -47.2499
99.5 57.8305 55.6782 48.8916 36.5278 17.2177 -10.4396 -47.3349
100 57.8291 55.6712 48.8687 36.4815 17.1474 -10.5254 -47.4196
100.5 57.8274 55.664 48.8456 36.4353 17.0772 -10.6109 -47.504
101 57.8256 55.6567 48.8224 36.389 17.0071 -10.6961 -47.5881
101.5 57.8236 55.6491 48.7991 36.3427 16.9373 -10.781 -47.6719
102 57.8214 55.6414 48.7756 36.2964 16.8675 -10.8657 -47.7554
102.5 57.819 55.6336 48.7521 36.25 16.7979 -10.9501 -47.8386
103 57.8164 55.6255 48.7284 36.2037 16.7284 -11.0342 -47.9214
103.5 57.8136 55.6173 48.7046 36.1573 16.6591 -11.1181 -48.004
104 57.8107 55.6089 48.6806 36.111 16.59 -11.2016 -48.0863
104.5 57.8076 55.6003 48.6566 36.0646 16.5209 -11.2849 -48.1682
105 57.8043 55.5916 48.6324 36.0182 16.452 -11.368 -48.2499
105.5 57.8008 55.5827 48.6081 35.9718 16.3833 -11.4507 -48.3313
106 57.7971 55.5736 48.5837 35.9254 16.3147 -11.5332 -48.4124
106.5 57.7932 55.5644 48.5592 35.879 16.2462 -11.6155 -48.4932
107 57.7892 55.5549 48.5346 35.8326 16.1779 -11.6975 -48.5737
107.5 57.785 55.5454 48.5098 35.7862 16.1097 -11.7792 -48.654
108 57.7806 55.5356 48.485 35.7398 16.0416 -11.8606 -48.7339
108.5 57.776 55.5257 48.46 35.6933 15.9737 -11.9419 -48.8136
109 57.7712 55.5156 48.4349 35.6469 15.9059 -12.0228 -48.893
109.5 57.7663 55.5054 48.4097 35.6005 15.8383 -12.1035 -48.9721
110 57.7612 55.495 48.3844 35.554 15.7708 -12.184 -49.0509
110.5 57.7559 55.4844 48.359 35.5076 15.7034 -12.2642 -49.1295
111 57.7504 55.4737 48.3335 35.4612 15.6362 -12.3441 -49.2078
111.5 57.7448 55.4628 48.3079 35.4147 15.5691 -12.4238 -49.2858
112 57.7389 55.4517 48.2821 35.3683 15.5022 -12.5033 -49.3636
112.5 57.7329 55.4405 48.2563 35.3219 15.4354 -12.5825 -49.4411
113 57.7267 55.4292 48.2304 35.2754 15.3687 -12.6615 -49.5184
113.5 57.7204 55.4176 48.2043 35.229 15.3021 -12.7402 -49.5953
114 57.7138 55.4059 48.1782 35.1826 15.2357 -12.8187 -49.672
114.5 57.7071 55.3941 48.152 35.1361 15.1694 -12.897 -49.7485
115 57.7003 55.3821 48.1256 35.0897 15.1033 -12.975 -49.8247
115.5 57.6932 55.3699 48.0992 35.0433 15.0373 -13.0528 -49.9007
116 57.686 55.3576 48.0726 34.9969 14.9714 -13.1303 -49.9764
116.5 57.6786 55.3451 48.046 34.9505 14.9057 -13.2076 -50.0518
117 57.671 55.3325 48.0193 34.9041 14.84 -13.2847 -50.127
117.5 57.6633 55.3197 47.9924 34.8577 14.7746 -13.3616 -50.202
118 57.6554 55.3068 47.9655 34.8113 14.7092 -13.4382 -50.2767
118.5 57.6473 55.2937 47.9385 34.7649 14.644 -13.5147 -50.3511
119 57.639 55.2805 47.9114 34.7185 14.5789 -13.5908 -50.4253
119.5 57.6306 55.2671 47.8842 34.6721 14.5139 -13.6668 -50.4993
120 57.622 55.2535 47.8569 34.6258 14.4491 -13.7425 -50.5731
120.5 57.6133 55.2398 47.8295 34.5794 14.3844 -13.8181 -50.6466
121 57.6043 55.226 47.802 34.5331 14.3198 -13.8934 -50.7198
121.5 57.5952 55.212 47.7744 34.4867 14.2553 -13.9684 -50.7928
122 57.586 55.1979 47.7468 34.4404 14.191 -14.0433 -50.8656
122.5 57.5766 55.1836 47.719 34.3941 14.1268 -14.1179 -50.9382
123 57.567 55.1692 47.6912 34.3478 14.0627 -14.1924 -51.0105
123.5 57.5572 55.1546 47.6632 34.3015 13.9988 -14.2666 -51.0827
124 57.5473 55.1399 47.6352 34.2552 13.9349 -14.3406 -51.1545
124.5 57.5372 55.125 47.6071 34.2089 13.8712 -14.4144 -51.2262
125 57.527 55.11 47.579 34.1626 13.8077 -14.488 -51.2976
125.5 57.5166 55.0948 47.5507 34.1164 13.7442 -14.5614 -51.3688
126 57.506 55.0795 47.5223 34.0701 13.6809 -14.6345 -51.4398
126.5 57.4953 55.0641 47.4939 34.0239 13.6177 -14.7075 -51.5106
127 57.4844 55.0485 47.4654 33.9777 13.5546 -14.7803 -51.5811
127.5 57.4734 55.0328 47.4368 33.9315 13.4916 -14.8528 -51.6514
128 57.4622 55.017 47.4081 33.8853 13.4288 -14.9252 -51.7216
128.5 57.4508 55.001 47.3793 33.8391 13.3661 -14.9974 -51.7915
129 57.4393 54.9848 47.3505 33.7929 13.3035 -15.0693 -51.8611
129.5 57.4276 54.9685 47.3216 33.7468 13.241 -15.1411 -51.9306
130 57.4158 54.9521 47.2926 33.7007 13.1786 -15.2126 -51.9999
130.5 57.4038 54.9356 47.2635 33.6545 13.1164 -15.284 -52.0689
131 57.3917 54.9189 47.2343 33.6084 13.0543 -15.3552 -52.1378
131.5 57.3794 54.9021 47.2051 33.5623 12.9923 -15.4261 -52.2064
132 57.367 54.8851 47.1758 33.5162 12.9304 -15.4969 -52.2749
132.5 57.3544 54.8681 47.1464 33.4702 12.8686 -15.5675 -52.3431
133 57.3416 54.8508 47.1169 33.4241 12.807 -15.6379 -52.4111
133.5 57.3287 54.8335 47.0874 33.3781 12.7454 -15.7081 -52.4789
134 57.3156 54.816 47.0578 33.3321 12.684 -15.7781 -52.5466
134.5 57.3024 54.7984 47.0281 33.2861 12.6227 -15.8479 -52.614
135 57.2891 54.7806 46.9983 33.2401 12.5615 -15.9176 -52.6812
135.5 57.2756 54.7628 46.9685 33.1941 12.5004 -15.987 -52.7482
136 57.2619 54.7448 46.9386 33.1482 12.4395 -16.0563 -52.8151
136.5 57.2481 54.7266 46.9086 33.1022 12.3786 -16.1254 -52.8817
