Perfil de Temperatura via solucao analitica
t X0 X1 X2 X3 X4 X5 X6
176.5 55.7205 52.9124 44.3194 29.49 7.84075 -21.1366 -57.6718
177 55.6968 52.8858 44.2851 29.4457 7.7877 -21.1936 -57.7258
177.5 55.673 52.8591 44.2507 29.4014 7.73473 -21.2505 -57.7798
178 55.6491 52.8324 44.2163 29.3571 7.68184 -21.3074 -57.8336
178.5 55.625 52.8055 44.1819 29.3129 7.62903 -21.3641 -57.8873
179 55.6009 52.7786 44.1474 29.2687 7.5763 -21.4206 -57.9408
179.5 55.5767 52.7516 44.1129 29.2244 7.52365 -21.4771 -57.9943
180 55.5524 52.7245 44.0784 29.1803 7.47108 -21.5335 -58.0476
180.5 55.528 52.6973 44.0438 29.1361 7.41859 -21.5897 -58.1008
181 55.5035 52.6701 44.0091 29.0919 7.36617 -21.6458 -58.1539
181.5 55.479 52.6427 43.9745 29.0478 7.31383 -21.7018 -58.2069
182 55.4543 52.6153 43.9398 29.0037 7.26157 -21.7577 -58.2598
182.5 55.4295 52.5879 43.905 28.9596 7.20939 -21.8135 -58.3125
183 55.4046 52.5603 43.8703 28.9156 7.15728 -21.8691 -58.3651
183.5 55.3797 52.5326 43.8355 28.8715 7.10525 -21.9247 -58.4176
184 55.3546 52.5049 43.8006 28.8275 7.05329 -21.9801 -58.47
184.5 55.3295 52.4771 43.7657 28.7835 7.00142 -22.0354 -58.5223
185 55.3043 52.4493 43.7308 28.7395 6.94961 -22.0906 -58.5745
185.5 55.2789 52.4213 43.6959 28.6956 6.89788 -22.1458 -58.6265
186 55.2535 52.3933 43.6609 28.6516 6.84623 -22.2007 -58.6784
186.5 55.228 52.3652 43.6259 28.6077 6.79465 -22.2556 -58.7303
187 55.2024 52.337 43.5908 28.5638 6.74314 -22.3104 -58.782
187.5 55.1768 52.3088 43.5557 28.5199 6.69171 -22.3651 -58.8336
188 55.151 52.2805 43.5206 28.4761 6.64035 -22.4196 -58.8851
188.5 55.1252 52.2521 43.4855 28.4322 6.58907 -22.4741 -58.9365
189 55.0992 52.2236 43.4503 28.3884 6.53785 -22.5285 -58.9877
189.5 55.0732 52.1951 43.4151 28.3446 6.48671 -22.5827 -59.0389
190 55.0471 52.1665 43.3798 28.3009 6.43564 -22.6368 -59.0899
190.5 55.0209 52.1378 43.3445 28.2571 6.38465 -22.6909 -59.1409
191 54.9946 52.1091 43.3092 28.2134 6.33372 -22.7448 -59.1917
191.5 54.9682 52.0803 43.2739 28.1697 6.28287 -22.7986 -59.2425
192 54.9418 52.0514 43.2385 28.126 6.23208 -22.8523 -59.2931
192.5 54.9153 52.0224 43.2031 28.0823 6.18137 -22.906 -59.3436
193 54.8886 51.9934 43.1676 28.0387 6.13073 -22.9595 -59.394
193.5 54.8619 51.9643 43.1322 27.995 6.08016 -23.0129 -59.4443
194 54.8352 51.9351 43.0967 27.9514 6.02966 -23.0662 -59.4945
194.5 54.8083 51.9059 43.0611 27.9078 5.97922 -23.1194 -59.5446
195 54.7814 51.8766 43.0256 27.8643 5.92886 -23.1725 -59.5946
195.5 54.7543 51.8473 42.99 27.8207 5.87856 -23.2255 -59.6445
196 54.7272 51.8178 42.9543 27.7772 5.82834 -23.2785 -59.6943
196.5 54.7001 51.7883 42.9187 27.7337 5.77818 -23.3313 -59.744
197 54.6728 51.7588 42.883 27.6902 5.72809 -23.384 -59.7936
197.5 54.6455 51.7291 42.8473 27.6467 5.67806 -23.4366 -59.8431
198 54.618 51.6995 42.8116 27.6033 5.62811 -23.4891 -59.8925
198.5 54.5905 51.6697 42.7758 27.5598 5.57822 -23.5415 -59.9418
199 54.563 51.6399 42.74 27.5164 5.5284 -23.5939 -59.991
199.5 54.5353 51.61 42.7042 27.4731 5.47864 -23.6461 -60.0401
200 54.5076 51.58 42.6683 27.4297 5.42895 -23.6982 -60.0891
200.5 54.4798 51.55 42.6324 27.3863 5.37933 -23.7503 -60.138
201 54.4519 51.52 42.5965 27.343 5.32977 -23.8022 -60.1868
201.5 54.424 51.4898 42.5606 27.2997 5.28028 -23.8541 -60.2355
202 54.3959 51.4596 42.5246 27.2564 5.23085 -23.9058 -60.2841
202.5 54.3678 51.4294 42.4886 27.2132 5.18149 -23.9575 -60.3326
203 54.3396 51.399 42.4526 27.1699 5.13219 -24.0091 -60.381
203.5 54.3114 51.3687 42.4166 27.1267 5.08296 -24.0605 -60.4293
204 54.2831 51.3382 42.3805 27.0835 5.03379 -24.1119 -60.4775
204.5 54.2547 51.3077 42.3444 27.0403 4.98468 -24.1632 -60.5257
205 54.2262 51.2771 42.3083 26.9971 4.93564 -24.2144 -60.5737
205.5 54.1977 51.2465 42.2721 26.954 4.88666 -24.2655 -60.6217
206 54.1691 51.2158 42.236 26.9108 4.83774 -24.3166 -60.6695
206.5 54.1404 51.1851 42.1998 26.8677 4.78889 -24.3675 -60.7173
207 54.1116 51.1543 42.1635 26.8246 4.74009 -24.4183 -60.765
207.5 54.0828 51.1235 42.1273 26.7816 4.69136 -24.4691 -60.8125
208 54.0539 51.0925 42.091 26.7385 4.64269 -24.5198 -60.86
208.5 54.025 51.0616 42.0547 26.6955 4.59409 -24.5703 -60.9074
209 53.9959 51.0305 42.0184 26.6525 4.54554 -24.6208 -60.9547
209.5 53.9668 50.9995 41.9821 26.6095 4.49706 -24.6712 -61.002
210 53.9377 50.9683 41.9457 26.5665 4.44863 -24.7215 -61.0491
210.5 53.9084 50.9371 41.9093 26.5236 4.40027 -24.7718 -61.0961
211 53.8791 50.9059 41.8729 26.4806 4.35197 -24.8219 -61.1431
211.5 53.8498 50.8746 41.8364 26.4377 4.30372 -24.872 -61.19
212 53.8203 50.8432 41.8 26.3948 4.25554 -24.922 -61.2367
212.5 53.7908 50.8118 41.7635 26.3519 4.20741 -24.9718 -61.2834
213 53.7613 50.7803 41.727 26.3091 4.15935 -25.0216 -61.33
213.5 53.7316 50.7488 41.6905 26.2662 4.11134 -25.0714 -61.3766
214 53.7019 50.7172 41.6539 26.2234 4.0634 -25.121 -61.423
214.5 53.6722 50.6856 41.6173 26.1806 4.01551 -25.1706 -61.4693
215 53.6424 50.6539 41.5807 26.1378 3.96768 -25.22 -61.5156
215.5 53.6125 50.6222 41.5441 26.0951 3.9199 -25.2694 -61.5618
216 53.5825 50.5904 41.5075 26.0523 3.87219 -25.3187 -61.6079
216.5 53.5525 50.5585 41.4708 26.0096 3.82453 -25.3679 -61.6539
217 53.5224 50.5267 41.4341 25.9669 3.77693 -25.4171 -61.6998
217.5 53.4923 50.4947 41.3974 25.9242 3.72939 -25.4661 -61.7457
218 53.4621 50.4627 41.3607 25.8815 3.6819 -25.5151 -61.7914
218.5 53.4318 50.4307 41.3239 25.8389 3.63447 -25.564 -61.8371
219 53.4015 50.3986 41.2872 25.7963 3.58709 -25.6128 -61.8827
219.5 53.3711 50.3664 41.2504 25.7537 3.53978 -25.6616 -61.9282
220 53.3407 50.3342 41.2136 25.7111 3.49251 -25.7103 -61.9737
220.5 53.3102 50.302 41.1767 25.6685 3.44531 -25.7588 -62.019
221 53.2796 50.2697 41.1399 25.6259 3.39816 -25.8073 -62.0643
221.5 53.249 50.2374 41.103 25.5834 3.35106 -25.8558 -62.1095
222 53.2183 50.205 41.0661 25.5409 3.30402 -25.9041 -62.1546
222.5 53.1876 50.1726 41.0292 25.4984 3.25703 -25.9524 -62.1997
223 53.1568 50.1401 40.9923 25.4559 3.2101 -26.0006 -62.2447
223.5 53.1259 50.1075 40.9553 25.4134 3.16322 -26.0487 -62.2895
224 53.095 50.075 40.9184 25.371 3.1164 -26.0967 -62.3343
224.5 53.064 50.0423 40.8814 25.3286 3.06963 -26.1447 -62.3791
225 53.033 50.0097 40.8444 25.2862 3.02291 -26.1926 -62.4237
225.5 53.0019 49.977 40.8074 25.2438 2.97624 -26.2404 -62.4683
226 52.9708 49.9442 40.7703 25.2014 2.92963 -26.2882 -62.5128
226.5 52.9396 49.9114 40.7333 25.1591 2.88307 -26.3358 -62.5572
227 52.9083 49.8785 40.6962 25.1167 2.83657 -26.3834 -62.6016
227.5 52.877 49.8456 40.6591 25.0744 2.79012 -26.4309 -62.6459
228 52.8457 49.8127 40.622 25.0321 2.74371 -26.4784 -62.6901
228.5 52.8143 49.7797 40.5848 24.9898 2.69737 -26.5258 -62.7342
229 52.7828 49.7467 40.5477 24.9476 2.65107 -26.5731 -62.7782
229.5 52.7513 49.7136 40.5105 24.9053 2.60482 -26.6203 -62.8222
230 52.7197 49.6805 40.4733 24.8631 2.55863 -26.6675 -62.8661
230.5 52.6881 49.6473 40.4361 24.8209 2.51248 -26.7145 -62.91
231 52.6564 49.6141 40.3989 24.7787 2.46639 -26.7616 -62.9537
231.5 52.6246 49.5809 40.3617 24.7365 2.42035 -26.8085 -62.9974
232 52.5929 49.5476 40.3245 24.6944 2.37436 -26.8554 -63.041
232.5 52.561 49.5142 40.2872 24.6522 2.32842 -26.9022 -63.0846
233 52.5291 49.4809 40.2499 24.6101 2.28253 -26.9489 -63.128
233.5 52.4972 49.4474 40.2126 24.568 2.23668 -26.9956 -63.1714
234 52.4652 49.414 40.1753 24.5259 2.19089 -27.0422 -63.2148
234.5 52.4332 49.3805 40.138 24.4839 2.14515 -27.0887 -63.258
235 52.4011 49.347 40.1006 24.4418 2.09946 -27.1351 -63.3012
235.5 52.3689 49.3134 40.0633 24.3998 2.05381 -27.1815 -63.3443
236 52.3368 49.2798 40.0259 24.3578 2.00822 -27.2278 -63.3874
236.5 52.3045 49.2461 39.9885 24.3158 1.96267 -27.2741 -63.4304
237 52.2722 49.2124 39.9511 24.2738 1.91717 -27.3203 -63.4733
237.5 52.2399 49.1787 39.9137 24.2319 1.87172 -27.3664 -63.5161
238 52.2075 49.1449 39.8762 24.1899 1.82632 -27.4124 -63.5589
238.5 52.1751 49.1111 39.8388 24.148 1.78097 -27.4584 -63.6016
239 52.1426 49.0772 39.8013 24.1061 1.73566 -27.5043 -63.6442
239.5 52.1101 49.0433 39.7638 24.0642 1.6904 -27.5502 -63.6868
240 52.0775 49.0094 39.7263 24.0223 1.64519 -27.596 -63.7293
240.5 52.0449 48.9754 39.6888 23.9805 1.60002 -27.6417 -63.7717
241 52.0122 48.9414 39.6513 23.9387 1.5549 -27.6873 -63.8141
241.5 51.9795 48.9074 39.6138 23.8968 1.50983 -27.7329 -63.8564
242 51.9467 48.8733 39.5762 23.855 1.46481 -27.7784 -63.8987
242.5 51.9139 48.8392 39.5386 23.8133 1.41983 -27.8239 -63.9408
243 51.8811 48.805 39.5011 23.7715 1.3749 -27.8693 -63.983
243.5 51.8482 48.7708 39.4635 23.7297 1.33001 -27.9146 -64.025
244 51.8153 48.7366 39.4259 23.688 1.28517 -27.9599 -64.067
244.5 51.7823 48.7023 39.3883 23.6463 1.24037 -28.0051 -64.1089
245 51.7493 48.668 39.3506 23.6046 1.19562 -28.0502 -64.1508
245.5 51.7162 48.6337 39.313 23.5629 1.15092 -28.0953 -64.1926
246 51.6831 48.5993 39.2753 23.5212 1.10626 -28.1403 -64.2343
246.5 51.6499 48.5649 39.2377 23.4796 1.06164 -28.1853 -64.2759
247 51.6167 48.5305 39.2 23.438 1.01707 -28.2302 -64.3176
247.5 51.5835 48.496 39.1623 23.3964 0.972545 -28.275 -64.3591
248 51.5502 48.4615 39.1246 23.3548 0.928063 -28.3198 -64.4006
248.5 51.5169 48.4269 39.0869 23.3132 0.883625 -28.3645 -64.442
249 51.4835 48.3924 39.0491 23.2716 0.839231 -28.4091 -64.4833
249.5 51.4501 48.3578 39.0114 23.2301 0.794881 -28.4537 -64.5246
250 51.4166 48.3231 38.9736 23.1885 0.750575 -28.4983 -64.5659
250.5 51.3832 48.2884 38.9359 23.147 0.706311 -28.5427 -64.607
251 51.3496 48.2537 38.8981 23.1055 0.662091 -28.5871 -64.6481
251.5 51.316 48.219 38.8603 23.0641 0.617914 -28.6315 -64.6892
252 51.2824 48.1842 38.8225 23.0226 0.57378 -28.6758 -64.7302
252.5 51.2488 48.1494 38.7847 22.9812 0.529688 -28.72 -64.7711
253 51.2151 48.1146 38.7469 22.9397 0.485639 -28.7642 -64.812
253.5 51.1814 48.0797 38.709 22.8983 0.441633 -28.8083 -64.8528
254 51.1476 48.0448 38.6712 22.8569 0.397668 -28.8523 -64.8936
254.5 51.1138 48.0099 38.6334 22.8155 0.353746 -28.8963 -64.9343
255 51.0799 47.9749 38.5955 22.7742 0.309865 -28.9403 -64.9749
255.5 51.046 47.9399 38.5576 22.7328 0.266026 -28.9842 -65.0155
256 51.0121 47.9049 38.5197 22.6915 0.222229 -29.028 -65.056
256.5 50.9782 47.8699 38.4818 22.6502 0.178473 -29.0718 -65.0965
257 50.9442 47.8348 38.4439 22.6089 0.134758 -29.1155 -65.1369
257.5 50.9101 47.7997 38.406 22.5676 0.0910843 -29.1591 -65.1772
258 50.876 47.7645 38.3681 22.5263 0.0474514 -29.2027 -65.2175
258.5 50.8419 47.7293 38.3302 22.4851 0.00385911 -29.2463 -65.2578
259 50.8078 47.6941 38.2922 22.4439 -0.0396926 -29.2898 -65.2979
259.5 50.7736 47.6589 38.2543 22.4027 -0.0832039 -29.3332 -65.3381
260 50.7394 47.6236 38.2163 22.3615 -0.126675 -29.3766 -65.3781
260.5 50.7051 47.5884 38.1783 22.3203 -0.170106 -29.4199 -65.4181
261 50.6708 47.553 38.1403 22.2791 -0.213497 -29.4632 -65.4581
261.5 50.6365 47.5177 38.1023 22.238 -0.256848 -29.5064 -65.498
262 50.6022 47.4823 38.0643 22.1968 -0.30016 -29.5496 -65.5379
262.5 50.5678 47.4469 38.0263 22.1557 -0.343433 -29.5927 -65.5777
263 50.5333 47.4115 37.9883 22.1146 -0.386666 -29.6357 -65.6174
263.5 50.4989 47.376 37.9503 22.0735 -0.429859 -29.6788 -65.6571
264 50.4644 47.3405 37.9123 22.0324 -0.473014 -29.7217 -65.6967
264.5 50.4298 47.305 37.8742 21.9914 -0.51613 -29.7646 -65.7363
265 50.3953 47.2695 37.8362 21.9503 -0.559208 -29.8074 -65.7758
265.5 50.3607 47.2339 37.7981 21.9093 -0.602246 -29.8502 -65.8153
266 50.326 47.1983 37.76 21.8683 -0.645247 -29.893 -65.8547
266.5 50.2914 47.1627 37.722 21.8273 -0.688209 -29.9357 -65.8941
267 50.2567 47.1271 37.6839 21.7864 -0.731133 -29.9783 -65.9334
267.5 50.2219 47.0914 37.6458 21.7454 -0.774019 -30.0209 -65.9727
268 50.1872 47.0557 37.6077 21.7044 -0.816868 -30.0634 -66.0119
268.5 50.1524 47.02 37.5696 21.6635 -0.859678 -30.1059 -66.051
269 50.1176 46.9843 37.5315 21.6226 -0.902452 -30.1483 -66.0901
269.5 50.0827 46.9485 37.4933 21.5817 -0.945187 -30.1907 -66.1292
270 50.0478 46.9127 37.4552 21.5408 -0.987886 -30.233 -66.1682
270.5 50.0129 46.8769 37.4171 21.5 -1.03055 -30.2753 -66.2072
271 49.9779 46.841 37.3789 21.4591 -1.07317 -30.3175 -66.2461
271.5 49.9429 46.8052 37.3408 21.4183 -1.11576 -30.3597 -66.2849
272 49.9079 46.7693 37.3026 21.3775 -1.15831 -30.4019 -66.3237
272.5 49.8729 46.7334 37.2644 21.3367 -1.20083 -30.4439 -66.3625
273 49.8378 46.6974 37.2263 21.2959 -1.2433 -30.486 -66.4012
273.5 49.8027 46.6615 37.1881 21.2551 -1.28575 -30.528 -66.4399
274 49.7676 46.6255 37.1499 21.2144 -1.32815 -30.5699 -66.4785
274.5 49.7324 46.5895 37.1117 21.1736 -1.37052 -30.6118 -66.517
275 49.6972 46.5534 37.0735 21.1329 -1.41286 -30.6536 -66.5555
275.5 49.662 46.5174 37.0353 21.0922 -1.45515 -30.6954 -66.594
276 49.6268 46.4813 36.9971 21.0515 -1.49742 -30.7371 -66.6324
276.5 49.5915 46.4452 36.9589 21.0108 -1.53964 -30.7788 -66.6708
277 49.5562 46.4091 36.9206 20.9701 -1.58184 -30.8205 -66.7091
277.5 49.5208 46.3729 36.8824 20.9295 -1.62399 -30.8621 -66.7474
278 49.4855 46.3367 36.8442 20.8889 -1.66612 -30.9036 -66.7856
278.5 49.4501 46.3006 36.8059 20.8482 -1.7082 -30.9451 -66.8238
279 49.4147 46.2643 36.7677 20.8076 -1.75026 -30.9866 -66.8619
279.5 49.3792 46.2281 36.7294 20.767 -1.79227 -31.028 -66.9
280 49.3437 46.1919 36.6912 20.7265 -1.83426 -31.0694 -66.938
280.5 49.3083 46.1556 36.6529 20.6859 -1.8762 -31.1107 -66.976
281 49.2727 46.1193 36.6146 20.6454 -1.91812 -31.152 -67.0139
281.5 49.2372 46.083 36.5764 20.6048 -1.96 -31.1932 -67.0518
282 49.2016 46.0466 36.5381 20.5643 -2.00185 -31.2344 -67.0897
282.5 49.166 46.0103 36.4998 20.5238 -2.04366 -31.2755 -67.1275
283 49.1304 45.9739 36.4615 20.4834 -2.08544 -31.3166 -67.1652
283.5 49.0947 45.9375 36.4232 20.4429 -2.12718 -31.3577 -67.203
284 49.059 45.9011 36.3849 20.4024 -2.16889 -31.3987 -67.2406
284.5 49.0233 45.8646 36.3466 20.362 -2.21057 -31.4396 -67.2783
285 48.9876 45.8282 36.3083 20.3216 -2.25222 -31.4805 -67.3158
285.5 48.9518 45.7917 36.27 20.2812 -2.29383 -31.5214 -67.3534
286 48.916 45.7552 36.2317 20.2408 -2.33541 -31.5622 -67.3909
286.5 48.8802 45.7187 36.1933 20.2004 -2.37696 -31.603 -67.4283
287 48.8444 45.6822 36.155 20.16 -2.41847 -31.6437 -67.4657
287.5 48.8085 45.6456 36.1167 20.1197 -2.45995 -31.6844 -67.5031
288 48.7727 45.609 36.0783 20.0794 -2.5014 -31.7251 -67.5404
288.5 48.7368 45.5724 36.04 20.039 -2.54281 -31.7657 -67.5777
289 48.7008 45.5358 36.0016 19.9987 -2.5842 -31.8063 -67.6149
289.5 48.6649 45.4992 35.9633 19.9584 -2.62555 -31.8468 -67.6521
290 48.6289 45.4626 35.9249 19.9182 -2.66687 -31.8873 -67.6892
290.5 48.5929 45.4259 35.8866 19.8779 -2.70815 -31.9277 -67.7263
291 48.5569 45.3892 35.8482 19.8377 -2.74941 -31.9681 -67.7634
291.5 48.5208 45.3525 35.8098 19.7974 -2.79063 -32.0084 -67.8004
292 48.4848 45.3158 35.7715 19.7572 -2.83183 -32.0488 -67.8374
292.5 48.4487 45.2791 35.7331 19.717 -2.87299 -32.089 -67.8743
293 48.4126 45.2423 35.6947 19.6768 -2.91412 -32.1293 -67.9112
293.5 48.3764 45.2055 35.6564 19.6367 -2.95521 -32.1694 -67.948
294 48.3403 45.1688 35.618 19.5965 -2.99628 -32.2096 -67.9848
294.5 48.3041 45.1319 35.5796 19.5564 -3.03732 -32.2497 -68.0216
295 48.2679 45.0951 35.5412 19.5162 -3.07832 -32.2898 -68.0583
295.5 48.2317 45.0583 35.5028 19.4761 -3.1193 -32.3298 -68.095
296 48.1954 45.0214 35.4644 19.436 -3.16024 -32.3698 -68.1317
296.5 48.1592 44.9846 35.426 19.3959 -3.20115 -32.4097 -68.1683
297 48.1229 44.9477 35.3876 19.3559 -3.24204 -32.4496 -68.2048
297.5 48.0866 44.9108 35.3492 19.3158 -3.28289 -32.4895 -68.2413
298 48.0503 44.8739 35.3108 19.2758 -3.32371 -32.5293 -68.2778
298.5 48.0139 44.8369 35.2724 19.2357 -3.3645 -32.5691 -68.3143
299 47.9776 44.8 35.234 19.1957 -3.40526 -32.6088 -68.3507
299.5 47.9412 44.763 35.1956 19.1557 -3.446 -32.6485 -68.387
300 47.9048 44.7261 35.1571 19.1157 -3.4867 -32.6882 -68.4234
300.5 47.8683 44.6891 35.1187 19.0758 -3.52737 -32.7278 -68.4597
301 47.8319 44.6521 35.0803 19.0358 -3.56801 -32.7674 -68.4959
301.5 47.7954 44.615 35.0419 18.9959 -3.60863 -32.8069 -68.5321
302 47.759 44.578 35.0034 18.9559 -3.64921 -32.8464 -68.5683
302.5 47.7225 44.5409 34.965 18.916 -3.68976 -32.8859 -68.6044
303 47.6859 44.5039 34.9266 18.8761 -3.73029 -32.9253 -68.6405
303.5 47.6494 44.4668 34.8882 18.8363 -3.77079 -32.9647 -68.6766
304 47.6128 44.4297 34.8497 18.7964 -3.81125 -33.0041 -68.7126
304.5 47.5763 44.3926 34.8113 18.7565 -3.85169 -33.0434 -68.7485
305 47.5397 44.3555 34.7728 18.7167 -3.8921 -33.0827 -68.7845
305.5 47.503 44.3183 34.7344 18.6769 -3.93248 -33.1219 -68.8204
306 47.4664 44.2812 34.696 18.637 -3.97283 -33.1611 -68.8563
306.5 47.4298 44.244 34.6575 18.5972 -4.01316 -33.2003 -68.8921
307 47.3931 44.2069 34.6191 18.5574 -4.05345 -33.2394 -68.9279
307.5 47.3564 44.1697 34.5806 18.5177 -4.09372 -33.2785 -68.9636
308 47.3197 44.1325 34.5422 18.4779 -4.13396 -33.3176 -68.9993
308.5 47.283 44.0952 34.5037 18.4382 -4.17417 -33.3566 -69.035
309 47.2462 44.058 34.4653 18.3984 -4.21435 -33.3956 -69.0707
309.5 47.2095 44.0208 34.4268 18.3587 -4.2545 -33.4345 -69.1063
310 47.1727 43.9835 34.3884 18.319 -4.29463 -33.4735 -69.1418
310.5 47.1359 43.9463 34.3499 18.2793 -4.33473 -33.5123 -69.1774
311 47.0991 43.909 34.3115 18.2397 -4.3748 -33.5512 -69.2129
311.5 47.0623 43.8717 34.273 18.2 -4.41485 -33.59 -69.2483
312 47.0255 43.8344 34.2345 18.1603 -4.45486 -33.6287 -69.2838
312.5 46.9886 43.7971 34.1961 18.1207 -4.49485 -33.6675 -69.3192
313 46.9517 43.7597 34.1576 18.0811 -4.53481 -33.7062 -69.3545
313.5 46.9149 43.7224 34.1192 18.0415 -4.57475 -33.7448 -69.3898
314 46.878 43.685 34.0807 18.0019 -4.61465 -33.7835 -69.4251
314.5 46.841 43.6477 34.0422 17.9623 -4.65454 -33.8221 -69.4604
315 46.8041 43.6103 34.0038 17.9227 -4.69439 -33.8606 -69.4956
315.5 46.7672 43.5729 33.9653 17.8832 -4.73422 -33.8991 -69.5308
316 46.7302 43.5355 33.9269 17.8437 -4.77402 -33.9376 -69.5659
316.5 46.6932 43.4981 33.8884 17.8041 -4.81379 -33.9761 -69.601
317 46.6562 43.4607 33.8499 17.7646 -4.85354 -34.0145 -69.6361
317.5 46.6192 43.4233 33.8115 17.7251 -4.89326 -34.0529 -69.6712
318 46.5822 43.3858 33.773 17.6856 -4.93295 -34.0912 -69.7062
318.5 46.5452 43.3484 33.7345 17.6462 -4.97262 -34.1296 -69.7412
319 46.5081 43.3109 33.6961 17.6067 -5.01226 -34.1678 -69.7761
319.5 46.471 43.2735 33.6576 17.5673 -5.05188 -34.2061 -69.811
320 46.434 43.236 33.6191 17.5278 -5.09147 -34.2443 -69.8459
320.5 46.3969 43.1985 33.5807 17.4884 -5.13103 -34.2825 -69.8807
321 46.3598 43.161 33.5422 17.449 -5.17057 -34.3206 -69.9156
321.5 46.3226 43.1235 33.5038 17.4096 -5.21008 -34.3588 -69.9503
322 46.2855 43.0859 33.4653 17.3703 -5.24957 -34.3968 -69.9851
322.5 46.2484 43.0484 33.4268 17.3309 -5.28903 -34.4349 -70.0198
323 46.2112 43.0109 33.3884 17.2915 -5.32846 -34.4729 -70.0545
323.5 46.174 42.9733 33.3499 17.2522 -5.36787 -34.5109 -70.0891
324 46.1368 42.9358 33.3114 17.2129 -5.40726 -34.5489 -70.1237
324.5 46.0996 42.8982 33.273 17.1736 -5.44662 -34.5868 -70.1583
325 46.0624 42.8606 33.2345 17.1343 -5.48595 -34.6247 -70.1929
325.5 46.0252 42.823 33.1961 17.095 -5.52526 -34.6625 -70.2274
326 45.988 42.7854 33.1576 17.0557 -5.56454 -34.7003 -70.2619
326.5 45.9507 42.7478 33.1191 17.0165 -5.6038 -34.7381 -70.2963
327 45.9134 42.7102 33.0807 16.9772 -5.64304 -34.7759 -70.3308
327.5 45.8762 42.6726 33.0422 16.938 -5.68225 -34.8136 -70.3651
328 45.8389 42.635 33.0038 16.8988 -5.72143 -34.8513 -70.3995
328.5 45.8016 42.5973 32.9653 16.8596 -5.76059 -34.889 -70.4338
329 45.7643 42.5597 32.9269 16.8204 -5.79973 -34.9266 -70.4681
329.5 45.7269 42.522 32.8884 16.7812 -5.83884 -34.9642 -70.5024
330 45.6896 42.4844 32.8499 16.7421 -5.87792 -35.0018 -70.5366
330.5 45.6523 42.4467 32.8115 16.7029 -5.91699 -35.0394 -70.5709
331 45.6149 42.409 32.773 16.6638 -5.95602 -35.0769 -70.605
331.5 45.5775 42.3713 32.7346 16.6247 -5.99504 -35.1143 -70.6392
332 45.5402 42.3336 32.6961 16.5855 -6.03403 -35.1518 -70.6733
332.5 45.5028 42.2959 32.6577 16.5464 -6.073 -35.1892 -70.7074
333 45.4654 42.2582 32.6192 16.5074 -6.11194 -35.2266 -70.7414
333.5 45.4279 42.2205 32.5808 16.4683 -6.15086 -35.264 -70.7755
334 45.3905 42.1828 32.5424 16.4292 -6.18975 -35.3013 -70.8094
334.5 45.3531 42.145 32.5039 16.3902 -6.22862 -35.3386 -70.8434
335 45.3156 42.1073 32.4655 16.3512 -6.26747 -35.3759 -70.8773
335.5 45.2782 42.0695 32.427 16.3121 -6.30629 -35.4131 -70.9113
336 45.2407 42.0318 32.3886 16.2731 -6.34509 -35.4503 -70.9451
336.5 45.2032 41.994 32.3502 16.2341 -6.38387 -35.4875 -70.979
337 45.1658 41.9562 32.3117 16.1952 -6.42262 -35.5246 -71.0128
337.5 45.1283 41.9185 32.2733 16.1562 -6.46135 -35.5618 -71.0466
338 45.0908 41.8807 32.2349 16.1172 -6.50006 -35.5989 -71.0803
338.5 45.0532 41.8429 32.1964 16.0783 -6.53874 -35.6359 -71.1141
339 45.0157 41.8051 32.158 16.0394 -6.5774 -35.673 -71.1478
339.5 44.9782 41.7673 32.1196 16.0004 -6.61604 -35.71 -71.1815
340 44.9406 41.7295 32.0812 15.9615 -6.65466 -35.7469 -71.2151
340.5 44.9031 41.6917 32.0428 15.9227 -6.69325 -35.7839 -71.2487
341 44.8655 41.6539 32.0043 15.8838 -6.73182 -35.8208 -71.2823
341.5 44.828 41.616 31.9659 15.8449 -6.77037 -35.8577 -71.3159
342 44.7904 41.5782 31.9275 15.8061 -6.80889 -35.8946 -71.3494
342.5 44.7528 41.5404 31.8891 15.7672 -6.84739 -35.9314 -71.3829
343 44.7152 41.5025 31.8507 15.7284 -6.88587 -35.9682 -71.4164
343.5 44.6776 41.4647 31.8123 15.6896 -6.92433 -36.005 -71.4498
344 44.64 41.4268 31.7739 15.6508 -6.96276 -36.0417 -71.4832
344.5 44.6023 41.3889 31.7355 15.612 -7.00117 -36.0785 -71.5166
345 44.5647 41.3511 31.6971 15.5732 -7.03956 -36.1151 -71.55
345.5 44.5271 41.3132 31.6587 15.5345 -7.07793 -36.1518 -71.5833
346 44.4894 41.2753 31.6203 15.4957 -7.11628 -36.1885 -71.6167
346.5 44.4518 41.2374 31.5819 15.457 -7.1546 -36.2251 -71.6499
347 44.4141 41.1996 31.5435 15.4183 -7.1929 -36.2617 -71.6832
347.5 44.3764 41.1617 31.5051 15.3795 -7.23118 -36.2982 -71.7164
348 44.3387 41.1238 31.4667 15.3408 -7.26944 -36.3347 -71.7496
348.5 44.3011 41.0859 31.4283 15.3022 -7.30768 -36.3712 -71.7828
349 44.2634 41.048 31.39 15.2635 -7.34589 -36.4077 -71.8159
349.5 44.2257 41.01 31.3516 15.2248 -7.38408 -36.4442 -71.8491
350 44.1879 40.9721 31.3132 15.1862 -7.42226 -36.4806 -71.8822
350.5 44.1502 40.9342 31.2748 15.1475 -7.46041 -36.517 -71.9152
