tf = 500 s, nsteps = 65536, dt = 0.00762939, N = 33, dx = 0.0009375
X IMP_DIF CN_DIF IMP_FIC CN_FIC
0 85.0681 85.2731 85.0681 85.2955
0.0009375 85.0558 85.261 85.0558 85.2829
0.001875 85.0188 85.2246 85.0189 85.2461
0.0028125 84.9571 85.1633 84.9573 85.1844
0.00375 84.8704 85.0769 84.8707 85.0977
0.0046875 84.7586 84.9652 84.759 84.9858
0.005625 84.6212 84.8279 84.6219 84.8482
0.0065625 84.458 84.6647 84.4589 84.6847
0.0075 84.2685 84.4749 84.2696 84.4948
0.0084375 84.0521 84.2582 84.0535 84.278
0.009375 83.8083 84.014 83.8099 84.0336
0.0103125 83.5364 83.7415 83.5384 83.7611
0.01125 83.2357 83.44 83.238 83.4596
0.0121875 82.9053 83.1088 82.908 83.1284
0.013125 82.5445 82.747 82.5475 82.7667
0.0140625 82.1523 82.3537 82.1557 82.3734
0.015 81.7276 81.9278 81.7315 81.9477
0.0159375 81.2695 81.4683 81.2739 81.4883
0.016875 80.7768 80.9741 80.7816 80.9943
0.0178125 80.2483 80.4439 80.2536 80.4644
0.01875 79.6828 79.8765 79.6886 79.8973
0.0196875 79.0788 79.2706 79.0853 79.2917
0.020625 78.4352 78.6249 78.4422 78.6462
0.0215625 77.7503 77.9377 77.7579 77.9595
0.0225 77.0227 77.2077 77.0309 77.2299
0.0234375 76.2508 76.4333 76.2596 76.4559
0.024375 75.433 75.6128 75.4425 75.6358
0.0253125 74.5676 74.7445 74.5778 74.768
0.02625 73.6528 73.8267 73.6637 73.8507
0.0271875 72.6868 72.8576 72.6985 72.8821
0.028125 71.6679 71.8353 71.6802 71.8604
0.0290625 70.594 70.7579 70.607 70.7835
0.03 69.4631 69.6234 69.4768 69.6496
