Solucao analitica da equacao da onda
X          T=0          T=1          T=2          T=3          T=4          T=5
0.83     0.239402    0.0935854    0.0877554    0.0342386    0.0321211    0.0125029 
0.84     0.227294    0.0881289    0.0833176    0.0322418     0.030497    0.0117735 
0.85     0.214841    0.0826588    0.0787532    0.0302401    0.0288265    0.0110423 
0.86      0.20206    0.0771773    0.0740685    0.0282343    0.0271119    0.0103096 
0.87     0.188969    0.0716865    0.0692702    0.0262251    0.0253558   0.00957581 
0.88     0.175588    0.0661881    0.0643653    0.0242134    0.0235605   0.00884107 
0.89     0.161935    0.0606839    0.0593608    0.0221995    0.0217287    0.0081056 
0.9     0.148031    0.0551751    0.0542642     0.020184    0.0198633   0.00736958 
0.91     0.133897    0.0496629    0.0490831    0.0181673    0.0179668   0.00663316 
0.92     0.119554    0.0441481    0.0438254    0.0161498    0.0160423   0.00589645 
0.93     0.105024    0.0386316    0.0384992    0.0141317    0.0140927   0.00515956 
0.94    0.0903289    0.0331139    0.0331126    0.0121132     0.012121   0.00442254 
0.95    0.0754924    0.0275954    0.0276739    0.0100945    0.0101301   0.00368547 
0.96    0.0605372    0.0220766    0.0221917    0.0080756   0.00812337   0.00294837 
0.97    0.0454867    0.0165575    0.0166745    0.0060567   0.00610378   0.00221126 
0.98    0.0303644    0.0110383     0.011131   0.00403779   0.00407456   0.00147417 
0.99    0.0151942   0.00551917   0.00556988   0.00201889   0.00203889  0.000737081 
1  5.92432e-17  2.15139e-17  2.17174e-17  7.86972e-18  7.94978e-18  2.87317e-18 
