Solucao analitica da equacao da onda
X          T=0          T=1          T=2          T=3          T=4          T=5
0.64     0.350185     0.212018     0.128314    0.0776246    0.0469407    0.0283741 
0.65     0.344836     0.208779     0.126354    0.0764389    0.0462237    0.0279407 
0.66     0.339147     0.205335     0.124269    0.0751778    0.0454611    0.0274798 
0.67     0.333123     0.201688     0.122062    0.0738425    0.0446536    0.0269917 
0.68      0.32677     0.197842     0.119734    0.0724344    0.0438021     0.026477 
0.69     0.320095       0.1938     0.117288    0.0709547    0.0429073    0.0259361 
0.7     0.313104     0.189568     0.114727    0.0694051    0.0419702    0.0253697 
0.71     0.305805     0.185148     0.112052    0.0677869    0.0409917    0.0247782 
0.72     0.298203     0.180546     0.109267    0.0661019    0.0399727    0.0241622 
0.73     0.290307     0.175765     0.106373    0.0643516    0.0389143    0.0235224 
0.74     0.282124     0.170811     0.103375    0.0625378    0.0378175    0.0228594 
0.75     0.273663     0.165688     0.100275    0.0606623    0.0366833    0.0221739 
0.76     0.264932     0.160402    0.0970758    0.0587269     0.035513    0.0214664 
0.77      0.25594     0.154958    0.0937808    0.0567335    0.0343076    0.0207378 
0.78     0.246695      0.14936    0.0903932    0.0546842    0.0330683    0.0199887 
0.79     0.237206     0.143615    0.0869165    0.0525809    0.0317964    0.0192199 
0.8     0.227484     0.137729     0.083354    0.0504257    0.0304932    0.0184321 
0.81     0.217537     0.131707    0.0797092    0.0482208    0.0291598    0.0176262 
0.82     0.207375     0.125554    0.0759857    0.0459683    0.0277977    0.0168028 
0.83     0.197008     0.119278    0.0721873    0.0436703    0.0264081    0.0159628 
0.84     0.186448     0.112884    0.0683176    0.0413294    0.0249924    0.0151071 
0.85     0.175703     0.106378    0.0643805    0.0389476    0.0235521    0.0142365 
0.86     0.164784     0.099768    0.0603799    0.0365273    0.0220886    0.0133518 
0.87     0.153704    0.0930591    0.0563196    0.0340711    0.0206033     0.012454 
0.88     0.142471    0.0862584    0.0522038    0.0315812    0.0190976    0.0115439 
0.89     0.131098    0.0793726    0.0480365    0.0290601    0.0175731    0.0106224 
0.9     0.119595    0.0724084    0.0438218    0.0265104    0.0160312   0.00969035 
0.91     0.107975    0.0653728    0.0395638    0.0239345    0.0144735   0.00874877 
0.92    0.0962476    0.0582727    0.0352668     0.021335    0.0129015   0.00779857 
0.93    0.0844255     0.051115    0.0309349    0.0187144    0.0113168   0.00684067 
0.94      0.07252    0.0439069    0.0265726    0.0160753   0.00972098   0.00587602 
0.95     0.060543    0.0366555     0.022184    0.0134204   0.00811552   0.00490557 
0.96    0.0485063    0.0293679    0.0177735    0.0107523   0.00650204   0.00393028 
0.97    0.0364217    0.0220513    0.0133455   0.00807349   0.00488216   0.00295111 
0.98    0.0243011     0.014713   0.00890434   0.00538676   0.00325745   0.00196902 
0.99    0.0121565   0.00736012   0.00445437   0.00269471   0.00162953  0.000984998 
1  4.73945e-17  2.86948e-17  1.73662e-17  1.05058e-17  6.35302e-18   3.8402e-18 
