Solucao analitica da equacao da onda
X          T=0          T=1          T=2          T=3          T=4          T=5
0            0            0            0            0            0            0 
0.01    0.0121565   0.00736012   0.00445437   0.00269471   0.00162953  0.000984998 
0.02    0.0243011     0.014713   0.00890434   0.00538676   0.00325745   0.00196902 
0.03    0.0364217    0.0220513    0.0133455   0.00807349   0.00488216   0.00295111 
0.04    0.0485063    0.0293679    0.0177735    0.0107523   0.00650204   0.00393028 
0.05     0.060543    0.0366555     0.022184    0.0134204   0.00811552   0.00490557 
0.06      0.07252    0.0439069    0.0265726    0.0160753   0.00972098   0.00587602 
0.07    0.0844255     0.051115    0.0309349    0.0187144    0.0113168   0.00684067 
0.08    0.0962476    0.0582727    0.0352668     0.021335    0.0129015   0.00779857 
0.09     0.107975    0.0653728    0.0395638    0.0239345    0.0144735   0.00874877 
0.1     0.119595    0.0724084    0.0438218    0.0265104    0.0160312   0.00969035 
0.11     0.131098    0.0793726    0.0480365    0.0290601    0.0175731    0.0106224 
0.12     0.142471    0.0862584    0.0522038    0.0315812    0.0190976    0.0115439 
0.13     0.153704    0.0930591    0.0563196    0.0340711    0.0206033     0.012454 
0.14     0.164784     0.099768    0.0603799    0.0365273    0.0220886    0.0133518 
0.15     0.175703     0.106378    0.0643805    0.0389476    0.0235521    0.0142365 
0.16     0.186448     0.112884    0.0683176    0.0413294    0.0249924    0.0151071 
0.17     0.197008     0.119278    0.0721873    0.0436703    0.0264081    0.0159628 
0.18     0.207375     0.125554    0.0759857    0.0459683    0.0277977    0.0168028 
0.19     0.217537     0.131707    0.0797092    0.0482208    0.0291598    0.0176262 
0.2     0.227484     0.137729     0.083354    0.0504257    0.0304932    0.0184321 
0.21     0.237206     0.143615    0.0869165    0.0525809    0.0317964    0.0192199 
0.22     0.246695      0.14936    0.0903932    0.0546842    0.0330683    0.0199887 
0.23      0.25594     0.154958    0.0937808    0.0567335    0.0343076    0.0207378 
0.24     0.264932     0.160402    0.0970758    0.0587269     0.035513    0.0214664 
0.25     0.273663     0.165688     0.100275    0.0606623    0.0366833    0.0221739 
0.26     0.282124     0.170811     0.103375    0.0625378    0.0378175    0.0228594 
0.27     0.290307     0.175765     0.106373    0.0643516    0.0389143    0.0235224 
0.28     0.298203     0.180546     0.109267    0.0661019    0.0399727    0.0241622 
0.29     0.305805     0.185148     0.112052    0.0677869    0.0409917    0.0247782 
0.3     0.313104     0.189568     0.114727    0.0694051    0.0419702    0.0253697 
0.31     0.320095       0.1938     0.117288    0.0709547    0.0429073    0.0259361 
0.32      0.32677     0.197842     0.119734    0.0724344    0.0438021     0.026477 
0.33     0.333123     0.201688     0.122062    0.0738425    0.0446536    0.0269917 
0.34     0.339147     0.205335     0.124269    0.0751778    0.0454611    0.0274798 
0.35     0.344836     0.208779     0.126354    0.0764389    0.0462237    0.0279407 
0.36     0.350185     0.212018     0.128314    0.0776246    0.0469407    0.0283741 
0.37     0.355188     0.215047     0.130147    0.0787336    0.0476113    0.0287795 
0.38     0.359841     0.217864     0.131852     0.079765     0.048235    0.0291565 
0.39     0.364138     0.220466     0.133427    0.0807176    0.0488111    0.0295047 
0.4     0.368076      0.22285      0.13487    0.0815906     0.049339    0.0298238 
0.41     0.371651     0.225015     0.136179     0.082383    0.0498182    0.0301135 
0.42      0.37486     0.226957     0.137355    0.0830942    0.0502482    0.0303734 
0.43     0.377698     0.228675     0.138395    0.0837233    0.0506287    0.0306034 
0.44     0.380163     0.230168     0.139298    0.0842698    0.0509591    0.0308032 
0.45     0.382254     0.231434     0.140064    0.0847332    0.0512393    0.0309725 
0.46     0.383967     0.232471     0.140692    0.0851129     0.051469    0.0311113 
0.47     0.385301     0.233279     0.141181    0.0854086    0.0516478    0.0312194 
0.48     0.386255     0.233856      0.14153    0.0856201    0.0517757    0.0312967 
0.49     0.386827     0.234203      0.14174    0.0857471    0.0518525    0.0313431 
0.5     0.387018     0.234319      0.14181    0.0857894    0.0518781    0.0313586 
0.51     0.386827     0.234203      0.14174    0.0857471    0.0518525    0.0313431 
0.52     0.386255     0.233856      0.14153    0.0856201    0.0517757    0.0312967 
0.53     0.385301     0.233279     0.141181    0.0854086    0.0516478    0.0312194 
0.54     0.383967     0.232471     0.140692    0.0851129     0.051469    0.0311113 
0.55     0.382254     0.231434     0.140064    0.0847332    0.0512393    0.0309725 
0.56     0.380163     0.230168     0.139298    0.0842698    0.0509591    0.0308032 
0.57     0.377698     0.228675     0.138395    0.0837233    0.0506287    0.0306034 
0.58      0.37486     0.226957     0.137355    0.0830942    0.0502482    0.0303734 
0.59     0.371651     0.225015     0.136179     0.082383    0.0498182    0.0301135 
0.6     0.368076      0.22285      0.13487    0.0815906     0.049339    0.0298238 
0.61     0.364138     0.220466     0.133427    0.0807176    0.0488111    0.0295047 
0.62     0.359841     0.217864     0.131852     0.079765     0.048235    0.0291565 
0.63     0.355188     0.215047     0.130147    0.0787336    0.0476113    0.0287795 
