Solucao analitica da equacao da onda
X          T=0          T=1          T=2          T=3          T=4          T=5
0            0            0            0            0            0            0 
0.025    0.0242748    0.0261327   0.00888991   0.00957661   0.00324971   0.00350489 
0.05    0.0485467    0.0518161     0.017779    0.0189883   0.00649918   0.00694928 
0.075    0.0728018    0.0766214    0.0266622    0.0280777   0.00974669    0.0102755 
0.1    0.0970051     0.100159    0.0355269     0.036702    0.0129877    0.0134311 
0.125     0.121093     0.122097      0.04435    0.0447388    0.0162137    0.0163712 
0.15     0.144971     0.142168    0.0530965    0.0520908    0.0194121    0.0190603 
0.175      0.16851     0.160184    0.0617194    0.0586885    0.0225655    0.0214728 
0.2     0.191552     0.176033    0.0701612    0.0644911     0.025653    0.0235938 
0.225      0.21392     0.189678    0.0783561    0.0694854    0.0286505    0.0254186 
0.25     0.235422     0.201152    0.0862343    0.0736832    0.0315323    0.0269515 
0.275     0.255868     0.210543    0.0937259    0.0771172    0.0342729    0.0282047 
0.3     0.275079     0.217982     0.100765    0.0798358    0.0368482     0.029196 
0.325       0.2929     0.223628     0.107296    0.0818975    0.0392373    0.0299469 
0.35     0.309207     0.227652     0.113271     0.083365    0.0414237    0.0304804 
0.375     0.323912     0.230221     0.118661    0.0842998    0.0433957    0.0308193 
0.4     0.336967     0.231488     0.123445    0.0847581    0.0451465    0.0309841 
0.425     0.348355      0.23158     0.127619    0.0847868    0.0466744    0.0309921 
0.45     0.358087     0.230596     0.131187    0.0844218    0.0479807    0.0308565 
0.475     0.366188       0.2286     0.134159    0.0836872     0.049069    0.0305861 
0.5     0.372684     0.225628     0.136542    0.0825963    0.0499428    0.0301858 
0.525     0.377587     0.221693     0.138343    0.0811528    0.0506037     0.029657 
0.55     0.380877     0.216786     0.139554    0.0793544    0.0510493    0.0289986 
0.575     0.382496     0.210892     0.140153    0.0771951    0.0512717    0.0282086 
0.6     0.382335     0.203996     0.140101    0.0746692    0.0512563    0.0272848 
0.625     0.380234     0.196092     0.139339    0.0717744    0.0509813    0.0262262 
0.65      0.37598     0.187188     0.137788    0.0685138    0.0504181    0.0250341 
0.675     0.369324     0.177314     0.135357    0.0648985     0.049533    0.0237124 
0.7     0.359989     0.166524     0.131944    0.0609478    0.0482883    0.0222682 
0.725     0.347694     0.154893     0.127446    0.0566891    0.0466463    0.0207114 
0.75     0.332176     0.142514     0.121766    0.0521571    0.0445713    0.0190549 
0.775      0.31322     0.129496     0.114824    0.0473913    0.0420339     0.017313 
0.8      0.29068     0.115954     0.106567     0.042434    0.0390144    0.0155013 
0.825     0.264503     0.102005    0.0969753    0.0373277    0.0355055    0.0136353 
0.85     0.234749    0.0877547    0.0860707     0.032112    0.0315151    0.0117295 
0.875     0.201604       0.0733    0.0739208    0.0268217     0.027068   0.00979672 
0.9     0.165378    0.0587183    0.0606404    0.0214854    0.0222061    0.0078473 
0.925     0.126512    0.0440674    0.0463903    0.0161241    0.0169884   0.00588896 
0.95    0.0855544    0.0293854    0.0313723    0.0107518    0.0114891   0.00392676 
0.975    0.0431479    0.0146935    0.0158223   0.00537614   0.00579447   0.00196343 
1  6.74714e-17  2.29104e-17  2.47417e-17  8.38256e-18  9.06104e-18  3.06139e-18 
