Solucao analitica da equacao da onda
X          T=0          T=1          T=2          T=3          T=4          T=5
0            0            0            0            0            0            0 
0.01   0.00970995    0.0104785   0.00355597   0.00383996   0.00129988   0.00140537 
0.02    0.0194199    0.0209279   0.00711194   0.00766927   0.00259976   0.00280684 
0.03    0.0291296    0.0313195    0.0106679    0.0114773   0.00389964   0.00420051 
0.04    0.0388388    0.0416248    0.0142236    0.0152537   0.00519948   0.00558257 
0.05    0.0485467    0.0518161     0.017779    0.0189883   0.00649918   0.00694928 
0.06    0.0582521    0.0618665    0.0213334    0.0226711    0.0077986   0.00829702 
0.07    0.0679534      0.07175    0.0248865    0.0262927   0.00909752   0.00962229 
0.08    0.0776481     0.081442    0.0284372     0.029844    0.0103956    0.0109218 
0.09    0.0873333    0.0909191    0.0319844    0.0333164    0.0116925    0.0121924 
0.1    0.0970051     0.100159    0.0355269     0.036702    0.0129877    0.0134311 
0.11     0.106659     0.109143    0.0390628    0.0399932    0.0142805    0.0146352 
0.12     0.116289     0.117851    0.0425902    0.0431835    0.0155703    0.0158023 
0.13     0.125889     0.126268    0.0461067    0.0462666    0.0168561    0.0169301 
0.14     0.135453     0.134378    0.0496098    0.0492372    0.0181371    0.0180166 
0.15     0.144971     0.142168    0.0530965    0.0520908    0.0194121    0.0190603 
0.16     0.154435     0.149629    0.0565635    0.0548233      0.02068    0.0200595 
0.17     0.163836     0.156752    0.0600074    0.0574317    0.0219394    0.0210133 
0.18     0.173163      0.16353    0.0634243    0.0599135    0.0231891    0.0219206 
0.19     0.182406     0.169958    0.0668103    0.0622669    0.0244274    0.0227809 
0.2     0.191552     0.176033    0.0701612    0.0644911     0.025653    0.0235938 
0.21     0.200591     0.181755    0.0734726    0.0665857    0.0268642    0.0243592 
0.22     0.209509     0.187125    0.0767402     0.068551    0.0280594    0.0250772 
0.23     0.218296     0.192145    0.0799594    0.0703879    0.0292369    0.0257482 
0.24     0.226937     0.196819    0.0831256     0.072098    0.0303951    0.0263727 
0.25     0.235422     0.201152    0.0862343    0.0736832    0.0315323    0.0269515 
0.26     0.243737     0.205152    0.0892812     0.075146    0.0326469    0.0274855 
0.27     0.251872     0.208826    0.0922618    0.0764893    0.0337372    0.0279757 
0.28     0.259814     0.212182     0.095172    0.0777164    0.0348019    0.0284233 
0.29     0.267553     0.215231    0.0980078    0.0788306    0.0358393    0.0288296 
0.3     0.275079     0.217982     0.100765    0.0798358    0.0368482     0.029196 
0.31     0.282382     0.220446     0.103441    0.0807358    0.0378272    0.0295239 
0.32     0.289453     0.222634     0.106033    0.0815347    0.0387753    0.0298148 
0.33     0.296286     0.224557     0.108536    0.0822365    0.0396913    0.0300702 
0.34     0.302872     0.226226      0.11095    0.0828452    0.0405744    0.0302916 
0.35     0.309207     0.227652     0.113271     0.083365    0.0414237    0.0304804 
0.36     0.315285     0.228846     0.115499    0.0837995    0.0422387    0.0306381 
0.37     0.321102     0.229816     0.117631    0.0841527    0.0430188    0.0307661 
