Solucao analitica da equacao da onda
X          T=0          T=1          T=2          T=3          T=4          T=5
0.38     0.326656     0.230575     0.119666     0.084428    0.0437636    0.0308656 
0.39     0.331945     0.231129     0.121604    0.0846288    0.0444729    0.0309379 
0.4     0.336967     0.231488     0.123445    0.0847581    0.0451465    0.0309841 
0.41     0.341722      0.23166     0.125188    0.0848189    0.0457844    0.0310053 
0.42      0.34621     0.231651     0.126833    0.0848135    0.0463866    0.0310023 
0.43     0.350433     0.231467     0.128381    0.0847443    0.0469533    0.0309761 
0.44     0.354391     0.231114     0.129832    0.0846132    0.0474845    0.0309273 
0.45     0.358087     0.230596     0.131187    0.0844218    0.0479807    0.0308565 
0.46     0.361522     0.229916     0.132447    0.0841713    0.0484419    0.0307641 
0.47     0.364697     0.229078     0.133612    0.0838629    0.0488686    0.0306507 
0.48     0.367615     0.228083     0.134682    0.0834973    0.0492608    0.0305164 
0.49     0.370277     0.226933     0.135659     0.083075    0.0496188    0.0303614 
0.5     0.372684     0.225628     0.136542    0.0825963    0.0499428    0.0301858 
0.51     0.374837      0.22417     0.137333    0.0820612    0.0502327    0.0299897 
0.52     0.376734     0.222557     0.138029    0.0814698    0.0504886     0.029773 
0.53     0.378375      0.22079     0.138633    0.0808217    0.0507102    0.0295357 
0.54     0.379757     0.218866     0.139141    0.0801167    0.0508973    0.0292776 
0.55     0.380877     0.216786     0.139554    0.0793544    0.0510493    0.0289986 
0.56      0.38173     0.214548     0.139869    0.0785343    0.0511657    0.0286985 
0.57      0.38231     0.212151     0.140084    0.0776561    0.0512457    0.0283773 
0.58     0.382611     0.209594     0.140196    0.0767194    0.0512883    0.0280346 
0.59     0.382622     0.206876     0.140203    0.0757238    0.0512923    0.0276705 
0.6     0.382335     0.203996     0.140101    0.0746692    0.0512563    0.0272848 
0.61     0.381738     0.200955     0.139885    0.0735555    0.0511789    0.0268775 
0.62     0.380819     0.197753     0.139551    0.0723828    0.0510583    0.0264487 
0.63     0.379563      0.19439     0.139094    0.0711513    0.0508927    0.0259984 
0.64     0.377955     0.190868     0.138508    0.0698614      0.05068    0.0255268 
0.65      0.37598     0.187188     0.137788    0.0685138    0.0504181    0.0250341 
0.66     0.373621     0.183352     0.136927    0.0671094    0.0501048    0.0245207 
0.67     0.370861     0.179364     0.135919    0.0656492    0.0497375    0.0239868 
0.68     0.367681     0.175227     0.134756    0.0641344     0.049314    0.0234331 
0.69     0.364063     0.170946     0.133434    0.0625668    0.0488318      0.02286 
0.7     0.359989     0.166524     0.131944    0.0609478    0.0482883    0.0222682 
0.71     0.355441     0.161968     0.130281    0.0592795    0.0476813    0.0216583 
0.72     0.350403     0.157282     0.128437    0.0575639    0.0470082    0.0210312 
0.73     0.344856     0.152474     0.126407    0.0558034    0.0462669    0.0203877 
0.74     0.338785     0.147549     0.124185    0.0540003    0.0454553    0.0197286 
0.75     0.332176     0.142514     0.121766    0.0521571    0.0445713    0.0190549 
0.76     0.325017     0.137377     0.119144    0.0502765    0.0436132    0.0183675 
0.77     0.317295     0.132145     0.116316    0.0483611    0.0425795    0.0176675 
0.78     0.309002     0.126826     0.113279    0.0464138     0.041469    0.0169557 
0.79     0.300132     0.121427      0.11003    0.0444372    0.0402809    0.0162334 
0.8      0.29068     0.115954     0.106567     0.042434    0.0390144    0.0155013 
0.81     0.280645     0.110417      0.10289    0.0404071    0.0376695    0.0147606 
0.82     0.270028     0.104822        0.099    0.0383589    0.0362463    0.0140121 
0.83     0.258834    0.0991753    0.0948979    0.0362921    0.0347454    0.0132569 
0.84     0.247071    0.0934842    0.0905868     0.034209    0.0331679    0.0124957 
0.85     0.234749    0.0877547    0.0860707     0.032112    0.0315151    0.0117295 
0.86     0.221884    0.0819926    0.0813548    0.0300031    0.0297891     0.010959 
0.87     0.208491    0.0762033    0.0764456    0.0278843    0.0279922    0.0101849 
0.88     0.194593    0.0703917    0.0713507    0.0257574    0.0261271   0.00940788 
0.89     0.180213    0.0645621     0.066079    0.0236239    0.0241972   0.00862851 
0.9     0.165378    0.0587183    0.0606404    0.0214854    0.0222061    0.0078473 
0.91      0.15012    0.0528637    0.0550463    0.0193429    0.0201579   0.00706469 
0.92     0.134472     0.047001    0.0493087    0.0171976    0.0180571   0.00628106 
0.93     0.118468    0.0411325     0.043441    0.0150502    0.0159085   0.00549671 
0.94     0.102149    0.0352602    0.0374572    0.0129014    0.0137173   0.00471188 
0.95    0.0855544    0.0293854    0.0313723    0.0107518    0.0114891   0.00392676 
0.96    0.0687272    0.0235091     0.025202   0.00860171   0.00922946   0.00314147 
0.97    0.0517118    0.0176321    0.0189626   0.00645136   0.00694452   0.00235612 
0.98    0.0345542    0.0117548     0.012671   0.00430092   0.00464041   0.00157074 
0.99     0.017301   0.00587742   0.00634428   0.00215046   0.00232343  0.000785368 
1  6.74714e-17  2.29104e-17  2.47417e-17  8.38256e-18  9.06104e-18  3.06139e-18 
